,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430
0,150,193,193,193,193,204,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,215,215,226,226,215,215,226,215,64,64,75,226,193,193,193,204,193,193,193,193,193,193,193,75,75,75,75,204,193,193,193,193,193,193,193,75,75,75,75,75,75,75,150,75,75,75,75,75,172,172,172,172,172,172,161,172,172,172,161,172,161,161,161,161,150,150,150,150,161,150,290,290,161,161,161,161,161,161,161,53,53,53,53,53,150,150,150,150,139,118,150,150,150,150,172,172,118,118,118,236,236,236,118,118,118,118,118,118,118,118,118,236,236,236,118,118,118,118,118,118,118,172,172,161,161,172,161,161,161,161,161,161,161,161,161,150,150,139,139,139,139,139,139,139,172,172,150,150,150,150,150,150,150,150,161,150,139,139,172,172,86,129,129,129,86,86,129,129,129,129,129,129,139,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,96,96,86,86,161,161,161,161,86,86,86,86,86,86,86,86,43,43,53,53,53,53,53,161,161,161,161,172,172,161,161,161,139,139,150,161,161,161,161,161,161,172,172,172,172,172,161,161,129,129,129,129,172,172,161,161,161,161,161,161,161,161,161,172,172,183,183,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,129,129,129,129,129,193,193,193,193,193,193,193,193,193,129,129,129,215,215,215,215,226,226,226,226,226,215,215,226,226,226,226,226,226,226,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,96,107,193,193,193,193,193,193,193,193,183,183,183,172,172,172,172,172,172,172,172,172,172,172,75,64,172,172,172,172,172,172,172,172,172,139,139,150,150,139,150,150,161,161,161,172,161,150,139,150,139,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,139
0,150,150,150,172,172,172,161,161,172,172,172,172,172,172,172,172,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,64,64,161,161,161,161,107,107,107,118,118,236,226,236,150,150,150,150,150,150,150,118,118,118,118,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,118,118,118,118,118,118,118,118,118,118,118,118,118,118,236,236,118,118,118,118,118,118,118,118,118,118,118,118,118,118,107,129,129,129,129,129,129,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,161,161,161,172,172,161,161,161,161,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,86,86,86,86,86,86,86,86,86,86,990,193,193,193,183,183,193,193,183,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,226,226,215,226,226,215,215,333,204,215,333,193,193,193,193,193,193,129,129,129,129,129,129,129,129,129,129,129,129,129,129,193,193,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,215,441,441,441,441,441,441,441,441,441,441,333,333,322,322,441,107,107,10,10,21,333,333,322,322,322,322,322,322,452,441,118,10,269,269,322,322,322,333,322,279,10,21,10,236,236,5028,4618,322,322,322,333,333,333,333,333,333,333,64,43,43,53,53,53,53,53,4015,53,53,204,215,215,53,215,215,226,344,1033,344,355,344,226,226,441,441,441,441,441,441,441,150,150,150,150,139,150,150,150,150,150,161,75,86
0,699,699,699,355,355,699,699,699,355,355,355,355,355,355,355,215,215,215,215,204,204,290,290,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,430,462,462,462,462,462,473,473,473,129,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,107,118,129,129,139,139,139,139,129,129,129,129,129,118,118,290,290,301,107,96,96,107,107,118,5910,5092,5103,6147,4812,4812,129,118,118,118,118,118,118,118,118,64,64,462,462,473,462,462,462,462,462,462,462,473,462,172,172,172,172,172,172,172,172,172,172,172,172,75,75,172,172,172,172,75,75,75,172,172,172,172,172,172,172,172,172,172,183,183,183,183,183,86,75,86,86,86,86,86,86,86,86,86,86,86,75,86,96,592,86,592,204,204,204,107,236,247,269,290,161,86,86,86,86,86,86,86,527,527,86,86,86,204,204,204,204,204,204,204,204,204,204,204,204,204,204,215,215,215,215,215,215,215,215,215,215,226,215,86,86,86,226,226,226,226,226,215,215,139,129,129,129,118,118,118,118,118,118,118,129,129,129,129,129,129,129,129,129,139,139,139,150,161,172,183,183,183,183,183,193,193,193,193,193,193,193,193,193,204,204,204,204,204,204,204,204,204,215,215,215,215,215,215,215,215,215,215,215,215,215,226,226,226,226,226,226,226,215,215,441,183,430,441,129,516,516,527,527,527,527,527,527,527,527,527,527,527,527,516,183,193,193,193,193,183,183,183,193,193,193,193,193,193,193,193,183,473,473,473,473,473,473,473,473,161,161,473,473,473,473,473,473,473,139,139,129,139,139,139,139,139,150,150,150,150,4586,4586,193,193,193,193,193,193,193,193,193,193,193,183,172,161,150,139,139,139,139,139,139,139,139,139,3875,3090,96,86,86,150,150,150,150,150,150,150,150,161,172,183,183,183,462,462,462,462
0,473,183,183,183,462,462,462,172,172,172,172,172,172,473,473,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,183,183,183,183,183,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,430,430,441,398,387,387,387,785,183,193,387,387,387,387,398,398,398,398,398,387,398,193,193,193,193,785,785,785,785,785,785,387,387,398,398,398,398,226,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,75,75,86,215,215,215,215,215,215,215,215,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,699,699,699,699,699,699,699,699,699,355,355,355,355,355,355,355,355,699,699,699,699,699,699,699,699,699,355,355,355,355,355,355,355,699,699,699,355,355,355,355,355,226,226,226,226,226,226,226,226,215,226,215,226,226,226,226,226,226,441,441,441,441,441,441,441,441,441,441,441,441,441,64,107,107,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,118,118,118,118,129,129,129,129,129,129,129,129,129,118,118,118,107,107,107,107,96,64,64,64,129,129,118,118,118,1862,1787,1787,64,139,129,118,118,118,118,462,462,473,473,473,473,462,473,473,473,462,462,473,473,473,473,473,473,473,473,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,183,183,183,183,193,96,96,96,96,96,96,96,96,96,96,96,96,96,96,107,96,96,96,96,96,96,107,96,96,107,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,86,75,75,75,86,75,75,75,161,161,161,473,462,473,473,473,473,473,473,462,473,473,473,473,462,473,473,473,473,473,473,473,473,473,473,462,473,473,462,462,473,473,473,473,473,473,473,473,473,473
0,462,462,462,462,462,462,462,462,462,462,462,462,129,129,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,473,473,473,462,75,473,473,473,473,473,473,473,473,473,473,462,462,462,75,645,645,645,656,656,75,645,645,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,656,333,96,86,75,75,75,75,75,75,75,75,75,75,75,75,75,75,86,75,75,75,75,355,355,75,699,699,344,355,161,161,161,150,355,344,344,344,592,699,699,699,592,592,592,592,592,592,699,699,699,699,592,592,592,592,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,882,882,882,882,441,441,441,872,96,139,139,75,75,75,75,75,75,75,75,75,75,75,75,75,462,86,462,462,462,75,75,75,75,75,75,75,161,161,161,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,387,775,775,775,785,785,785,785,785,785,785,785,398,441,441,441,441,441,441,441,882,882,452,473,473,473,75,75,75,75,75,75,75,75,75,75,462,462,462,462,462,473,473,473,462,462,473,473,473,473,462,462,462,161,161,473,473,462,462,473,462,462,462,473,462,473,473,473,473,473,473,473,473,473,473,462,462,473,473,473,473,473,473,473,462,462,462,473,473,473,473,462,473,473,462,462,462,473,473,462,462,462,462,462,473,473,150,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,161,161,161,462,462,462,462,473,473,462,462,473,473,473,473,473,473,473,462,462,462,462,462,462,462,462,441,441,430,430,441,441,441,430,441,441,441,441,441,441,441,441,441,441,441,441,430,430,96,96,441,290,107,118,86,75,75,75,86,75,75,75,75,75,75,75,75,75,86,75,75,75,75,75,75,75,75,75,161,161,161,161,150
0,376,376,53,43,43,43,376,376,376,43,43,43,43,43,43,43,96,96,96,96,96,96,96,96,96,96,96,96,96,53,53,53,53,53,53,53,53,53,53,2508,2519,2519,53,53,53,53,53,53,53,53,53,53,53,1614,53,53,53,2756,2756,53,2680,2680,2444,2357,2357,2185,107,107,2519,2519,2540,2508,2497,2530,107,107,107,107,107,107,107,107,107,107,107,301,96,75,75,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,355,1690,1701,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,366,366,366,366,366,366,53,53,53,53,366,366,366,366,366,366,366,366,355,355,355,355,355,355,355,366,366,366,53,53,53,53,53,53,53,53,366,366,366,355,355,355,355,355,355,355,366,366,366,366,366,366,107,376,376,376,107,107,366,355,301,301,301,301,301,53,53,53,96,96,96,96,301,301,43,43,43,43,43,366,366,301,301,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,96,86,86,86,366,366,301,376,366,355,366,366,43,366,366,43,366,43,53,366,43,43,366,43,43,43,366,366,43,53,96,96,53,53,96,96,96,43,53,53,43,43,96,96,96,96,53,53,43,53,53,53,53,53,53,366,366,366,366,366,53,366,366,366,366,355,355,355,355,355,355,355,53,2207,2196,107,2228,53,53,2400,2411,53,53,53,107,107,107,107,107,107,107,107,107,107,107,96,107,107,75,366,43,366,366,75,53,75,75,64,366,53,53,53,43,43,53,53,96,96,53,96,96,43,43,53,53,43,43,355,366,64,43,301,301,301,86,86,86,96,96,86,86,96,366,64,53,376,53,53,53,43,43,96
0,43,53,53,53,107,107,107,86,86,53,53,53,53,2390,2400,2400,2400,53,53,53,64,53,53,53,366,53,53,53,53,53,53,53,53,64,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2400,53,53,53,53,53,53,53,53,53,53,53,53,107,301,301,2368,2368,2379,2379,107,96,96,366,366,366,366,355,355,355,53,96,96,96,96,43,53,53,43,43,2174,2185,43,2379,2379,2379,43,86,86,86,366,355,366,366,86,96,86,86,86,86,86,86,86,86,86,86,86,96,86,86,96,96,86,96,86,96,366,355,366,64,43,43,43,355,355,366,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,96,96,96,96,96,96,96,96,96,96,96,96,96,96,53,53,53,2411,53,53,53,53,75,107,107,333,355,366,355,366,355,355,355,355,355,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,107,107,107,107,107,107,1754,1754,1754,1754,107,107,1701,1701,1701,1701,107,107,107,96,53,53,53,53,53,53,53,53,53,96,96,96,96,96,96,96,43,43,43,43,43,43,43,43,43,43,86,96,86,86,86,86,86,86,96,86,96,96,43,43,43,43,96,96,96,53,53,53,53,53,1033,107,107,107,1033,1033,53,53,53,53,53,53,53,1044,1044,1044,1044,1044,53,53,53,1044,1044,1044,1044,1044,1044,1044,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,107,107,107,107,107,107,107,96,96,1614,53,53,53,53,53,53,53,96,96,96,96,96,43,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376
0,366,376,376,376,376,376,376,376,376,376,376,376,376,376,86,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,366,355,355,355,355,96,96,96,96,96,96,96,96,96,96,96,96,96,96,53,53,53,53,53,53,53,53,53,107,107,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,96,96,96,53,53,53,53,53,53,53,53,53,53,96,96,96,96,96,96,96,43,43,43,43,43,43,43,43,43,86,86,86,86,86,86,86,86,96,86,96,86,43,43,43,43,43,96,53,53,53,53,53,53,53,107,107,107,107,1238,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,107,1722,107,107,107,107,107,96,1679,96,53,1701,1701,1701,53,53,53,96,96,96,96,96,96,43,43,43,43,43,43,43,43,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,1701,1701,86,86,86,86,1722,86,96,96,96,96,96,43,43,43,43,1722,1722,1711,1711,43,1722,1711,1722,43,43,43,43,43,43,43,43,43,43,43,96,96,96,96,96,96,96,96,96,96,96,96,96,96,53,53,53,53,53,53,53,53,53,53,107,107,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,96,96,53,53,1765,1765,53,53,53,53,53,53,96,96,96,96,96,96,43,43,43,43,43,43,43,32
0,96,96,1378,1378,1378,1378,96,1378,1378,107,107,96,193,193,183,183,183,193,193,183,183,86,96,96,96,96,96,96,893,882,75,64,53,64,53,53,53,118,53,53,53,53,1388,1388,1076,1076,1076,1076,193,193,183,183,183,193,193,183,183,107,64,53,53,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,925,118,107,689,689,689,689,689,689,689,689,689,1216,86,958,958,947,947,958,958,1238,86,75,53,43,775,775,775,75,64,64,64,64,64,64,64,64,64,64,64,193,193,183,183,1033,1033,1033,1033,775,75,53,53,64,689,689,689,689,699,925,925,925,925,689,64,64,64,75,925,193,193,183,183,183,193,183,172,204,193,193,775,775,775,775,775,775,775,775,785,785,785,785,785,96,96,64,53,53,1464,75,75,75,75,75,775,775,75,75,581,581,775,775,775,193,193,183,183,183,193,193,775,75,64,53,53,43,96,775,775,775,775,764,764,96,96,96,96,96,775,775,96,96,96,96,96,96,107,473,473,193,53,53,53,53,53,53,53,53,53,53,53,64,64,64,64,64,75,64,53,43,667,64,1378,1378,1378,86,86,1098,86,86,1076,710,86,193,193,183,183,183,183,193,183,689,689,64,53,53,699,699,1098,53,53,64,64,678,678,689,689,689,1378,1378,1378,624,624,624,624,624,635,635,624,75,193,193,53,53,183,53,53,53,53,64,53,53,53,53,53,775,775,86,64,53,53,1238,1238,1227,1227,925,915,462,462,75,75,75,75,75,75,193,193,183,183,183,96,96,96,96,96,64,53,53,43,925,925,925,925,376,764,753,753,775,1227,96,107,107,96,96,96,96,107,96,441,452,462,193,193,193,183,699,699,699,699,925,118,1044,1055,1065,1076,1087,1087,1098,1098,1098,1108,53,1119,1119,1108,925,86,925,925,925,925,581,592,592,602,613,624,193,193,592,592,592,592,592,592,592,592,592,53,53,592,462,592,592,592,592,592,592,506,506,462,462,452
0,193,193,183,602,484,484,473,925,936,936,193,193,183,183,183,183,75,75,193,193,183,75,75,75,75,75,86,75,64,53,75,75,75,796,796,785,785,785,1184,1173,775,785,75,75,86,193,193,183,183,183,193,193,43,43,86,64,53,53,107,96,96,96,753,764,785,796,785,785,785,785,785,150,96,107,107,118,118,118,118,118,53,53,193,193,183,118,118,118,118,118,118,699,129,689,689,699,699,699,86,64,53,53,43,1378,86,86,624,1378,1378,1378,1378,86,86,86,86,86,193,193,193,183,183,183,193,183,689,75,64,53,53,43,699,64,75,75,689,689,689,667,656,635,829,829,1378,96,107,624,624,635,645,645,53,118,118,118,193,193,53,118,53,53,53,53,732,732,732,742,753,775,775,775,86,64,53,699,689,656,75,1238,1227,1227,75,75,75,75,75,75,75,75,75,193,193,183,183,183,183,96,96,96,75,64,53,53,96,96,96,118,742,732,721,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,129,193,193,193,183,183,699,699,689,64,635,624,624,624,613,1227,1227,1227,75,64,53,915,925,925,925,624,635,925,915,915,915,904,915,915,915,107,53,53,64,53,53,53,53,53,43,86,96,53,53,53,107,107,96,925,925,925,925,107,96,53,96,689,699,689,678,678,689,678,678,689,689,43,53,75,64,53,43,829,678,678,689,689,1055,1055,1055,1033,1022,1022,1022,1033,1033,53,53,1001,1033,1022,1022,635,53,43,53,53,75,64,53,53,96,96,107,96,96,107,936,936,936,936,96,96,96,925,925,613,613,613,925,1227,915,96,64,53,53,43,904,1216,1216,915,915,915,915,915,915,915,1227,107,107,75,64,53,64,53,53,624,64,53,43,43,699,710,732,742,753,753,753,764,764,764,75,75,75,75,764,1765,1776,1776,1765,753,96,96,96,96,64,53,53,53,53,53,53,53,64,64,64,64,64,64,64,64,64,64,75,75,53,64,1378,1378,1378,64,75
0,53,64,64,64,64,64,64,1227,1227,53,64,53,53,53,183,193,53,53,43,53,1227,75,1098,635,635,64,75,75,53,53,1130,96,193,193,107,107,118,118,118,118,118,118,118,118,75,53,53,183,183,193,602,602,613,613,613,613,613,602,1238,1227,75,64,53,53,1119,96,96,96,96,1744,1754,107,118,118,118,118,118,107,96,96,53,53,96,96,96,96,96,107,107,96,689,699,107,96,96,721,732,732,732,732,742,742,742,742,742,732,732,732,732,96,96,96,96,96,689,689,64,53,53,53,183,699,699,699,699,64,64,64,64,64,64,64,64,64,75,53,53,183,183,183,915,925,699,689,678,678,689,689,689,75,86,86,86,53,53,699,699,183,183,86,484,495,96,96,96,96,96,96,96,96,53,53,53,64,75,64,96,96,915,990,979,979,904,915,915,96,107,107,86,118,118,118,107,53,53,96,96,96,107,107,96,96,107,96,53,96,96,53,53,43,43,43,43,53,53,656,656,1227,1227,1227,624,947,635,96,86,53,53,53,53,53,53,53,710,710,710,1076,1065,1442,1442,1916,75,53,53,183,183,193,193,925,75,86,96,96,96,96,96,96,96,43,699,710,721,721,732,742,742,96,53,53,53,53,53,53,53,53,53,53,64,64,53,64,64,64,64,64,64,699,699,699,699,699,710,710,462,75,64,64,64,64,64,64,53,818,75,527,527,527,538,538,538,538,43,538,53,53,43,43,183,53,581,592,602,602,602,602,602,915,592,592,592,592,592,592,592,592,592,592,592,592,592,602,624,624,624,624,592,592,602,64,86,602,602,602,602,602,635,947,947,925,915,915,925,925,602,602,602,602,602,602,602,602,602,602,732,602,602,602,602,602,602,602,602,602,602,602,602,602,602,75,193,193,602,915,96,96,96,96,96,96,96,710,710,64,53,732,732,732,721,785,775,53,1367,1367,1367,53,699,699,699,86,64,64,64,64,64,64,64,53,1227,699,699,699,710
0,570,581,581,592,592,592,592,592,592,592,592,592,592,581,581,581,193,193,193,193,193,193,193,193,193,193,581,581,592,290,290,193,581,570,1722,1711,1701,549,549,193,495,495,495,495,495,495,495,301,592,592,1464,1453,1431,570,570,559,549,549,193,193,193,193,258,258,258,258,258,258,258,258,247,183,183,366,183,183,204,183,183,495,506,506,495,495,484,473,473,462,183,183,441,441,441,430,419,441,441,452,452,441,441,430,430,430,441,462,462,462,452,387,376,398,409,441,452,462,452,441,183,333,333,183,183,183,279,279,183,183,592,592,592,290,290,592,290,290,290,290,290,290,290,441,441,441,882,882,882,882,882,441,441,441,441,441,592,592,592,441,441,441,441,441,441,441,441,183,549,549,366,366,366,366,366,366,366,366,366,366,366,366,366,592,592,290,592,366,366,366,366,366,366,441,441,441,882,441,441,441,441,441,441,441,441,441,656,656,656,656,656,656,656,656,656,656,656,656,183,183,183,366,366,366,183,183,366,366,183,183,183,183,290,290,290,290,290,290,290,290,290,290,290,290,290,441,441,441,441,441,441,441,592,592,592,592,290,1173,1173,592,592,592,592,592,592,592,592,592,592,592,592,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,344,344,344,344,344,344,344,344,344,344,344,344,441,441,441,441,441,441,441,441,441,441,441,172,441,183,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,430,441,441,441,441,441,441,441,441,441,441,441,441,441,549,549,538,538,172,506,495,484,721,721,710,710,732,732,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,419,430,430,495,495,495,495,495,430,419,495,172,344,366,172,387,172,398,172,172,172,172,172
0,183,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,527,527,527,322,322,322,172,355,344,344,172,172,344,656,645,645,645,645,161,161,161,161,161,161,172,387,387,376,376,387,387,387,387,387,161,161,161,161,161,161,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,419,398,376,366,366,376,387,592,581,570,559,559,570,592,602,592,581,559,538,549,570,581,398,409,398,387,355,516,344,355,376,409,419,419,398,366,322,322,333,366,398,419,419,398,387,161,161,312,312,322,785,387,387,387,387,398,172,333,333,322,333,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,441,441,441,441,441,441,441,441,441,441,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,495,495,495,495,495,333,333,333,333,333,333,333,333,333,333,333,333,161,161,656,441,226,226,215,215,215,215,215,215,215,215,333,333,333,333,333,333,333,333,333,333,333,333,441,398,409,430,430,215,441,441,441,215,430,430,419,419,527,527,527,527,527,527,527,527,527,1055,656,409,409,624,624,624,635,645,656,656,215,215,613,215,215,215,656,656,656,656,656,656,656,656,333,333,656,656,333,441,441,441,441,441,441,441,441,441,441,441,430,462,462,484,484,473,441,193,193,183,183,473,484,484,484,1464,1464,1453,1453,1453,1453,721,721,1690,1690,1690,236,247,236,236,226,226,236,247,258,506,247,247,258,258,269,269,269,258,258,258,258,258,258,258,258,258,527,527,1830,516,2056,516,516,527,538,538,506,462,462,236,247,258,269,269,258,236,441,441,441,592,592,592,592,592,226,226,215,333,333,333,333
0,322,322,333,333,333,333,333,333,430,441,441,441,441,441,441,441,441,441,441,441,441,656,656,656,656,656,656,656,656,656,656,656,656,656,656,624,624,204,215,204,204,204,204,204,204,204,204,753,656,656,656,656,656,656,656,1281,1281,635,1593,419,419,409,409,538,549,538,527,419,419,419,419,419,419,527,527,527,527,527,527,527,1313,1302,1302,1302,1302,1302,1291,1291,1291,1539,1539,1528,1518,1507,742,721,710,699,689,667,656,656,656,204,204,204,656,193,183,409,419,419,419,419,419,419,419,419,419,419,419,409,333,527,527,527,527,527,527,527,527,527,527,527,775,1765,1765,753,753,236,247,247,258,602,602,602,1507,1496,1475,1464,1464,1464,1453,1442,1431,1410,1399,1378,527,516,409,419,409,419,419,419,193,193,193,419,430,441,430,430,430,419,430,430,441,226,226,215,204,366,366,376,215,226,236,236,226,215,172,161,419,419,419,258,269,333,333,333,333,333,333,333,333,333,333,333,333,409,419,419,419,419,419,419,419,419,419,419,419,419,527,527,527,527,527,527,527,527,1044,1044,1044,1044,1044,1044,1044,581,387,387,387,387,387,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,495,495,495,495,495,495,495,495,495,495,495,495,452,441,441,645,430,430,193,193,193,193,387,204,430,441,441,226,441,430,398,193,204,398,226,236,236,226,215,785,387,387,398,398,387,398,193,452,441,430,430,430,527,527,527,527,527,527,236,506,1012,753,1248,742,1496,1485,742,495,484,484,484,495,1485,1475,1475,1464,1453,1453,1453,1464,1539,1539,247,721,656,656,656,333,258,269,269,269,236,656,204,656,656,656,247,656,656,333,333,592,581,592,592,592,592,1173,592,592,592,592,387,387,398,387,387,387,193,193,193,193,193,193,193,193,193,193,193,322,193,193,333,193,193,193,333,656,656,333,785,785,785,785,785,785,785,785,387,387,387,527,527,527
